,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
0,37.6,17982.0,10861.0,10816.0,7453.0,3949.0,2213.0,359.0,730.0,ZCTA5 00601,00601
1,39.5,40260.0,21720.0,16079.0,8474.0,11455.0,3807.0,395.0,838.0,ZCTA5 00602,00602
2,39.9,52408.0,25459.0,16804.0,10179.0,13024.0,3991.0,384.0,854.0,ZCTA5 00603,00603
3,40.8,6331.0,4070.0,12512.0,5863.0,1500.0,179.0,280.0,560.0,ZCTA5 00606,00606
4,40.2,28328.0,14005.0,17475.0,8452.0,8047.0,1495.0,424.0,737.0,ZCTA5 00610,00610
5,39.9,64816.0,31139.0,17229.0,9922.0,16560.0,4176.0,410.0,765.0,ZCTA5 00612,00612
6,42.8,10707.0,5733.0,13705.0,7983.0,2731.0,340.0,475.0,757.0,ZCTA5 00616,00616
7,37.1,24793.0,13670.0,15361.0,7919.0,5367.0,1113.0,448.0,748.0,ZCTA5 00617,00617
8,42.5,7425.0,4344.0,15689.0,10906.0,1385.0,183.0,547.0,881.0,ZCTA5 00622,00622
9,40.9,42955.0,21159.0,16593.0,9257.0,11036.0,1475.0,388.0,781.0,ZCTA5 00623,00623
10,35.5,24628.0,14391.0,15573.0,7325.0,5919.0,2072.0,407.0,700.0,ZCTA5 00624,00624
11,39.0,33949.0,16498.0,17532.0,9234.0,8899.0,2429.0,397.0,751.0,ZCTA5 00627,00627
12,43.8,1664.0,1135.0,7854.0,5085.0,287.0,316.0,278.0,726.0,ZCTA5 00631,00631
13,40.1,24398.0,11495.0,14767.0,7921.0,5339.0,1738.0,421.0,684.0,ZCTA5 00637,00637
14,38.7,18084.0,10722.0,12722.0,6831.0,3557.0,786.0,366.0,789.0,ZCTA5 00638,00638
15,39.9,29516.0,15275.0,16022.0,7827.0,6417.0,2620.0,391.0,642.0,ZCTA5 00641,00641
16,38.1,38396.0,13770.0,26861.0,14332.0,11998.0,2942.0,644.0,1158.0,ZCTA5 00646,00646
17,45.0,5740.0,3096.0,13764.0,7460.0,1389.0,241.0,550.0,545.0,ZCTA5 00647,00647
18,37.1,14738.0,8067.0,14611.0,7081.0,3686.0,754.0,436.0,629.0,ZCTA5 00650,00650
19,40.1,3800.0,1797.0,17500.0,11169.0,1035.0,140.0,407.0,782.0,ZCTA5 00652,00652
20,37.4,12514.0,8040.0,13593.0,7126.0,2445.0,1189.0,356.0,657.0,ZCTA5 00653,00653
21,38.3,20414.0,11402.0,15037.0,7794.0,4588.0,1340.0,342.0,704.0,ZCTA5 00656,00656
22,39.4,41578.0,18552.0,18687.0,9876.0,12623.0,1932.0,422.0,770.0,ZCTA5 00659,00659
23,44.0,16845.0,6246.0,20598.0,11096.0,4887.0,1428.0,435.0,735.0,ZCTA5 00660,00660
24,39.8,42499.0,23340.0,16016.0,8456.0,10042.0,2519.0,472.0,755.0,ZCTA5 00662,00662
25,35.2,15974.0,9167.0,15922.0,7205.0,3412.0,1582.0,399.0,621.0,ZCTA5 00664,00664
26,42.1,24968.0,14646.0,13222.0,7019.0,5018.0,1056.0,421.0,740.0,ZCTA5 00667,00667
27,39.0,27703.0,15893.0,12009.0,7659.0,5993.0,3176.0,392.0,651.0,ZCTA5 00669,00669
28,38.3,9333.0,5311.0,14031.0,6935.0,2532.0,119.0,286.0,728.0,ZCTA5 00670,00670
29,39.3,42358.0,19383.0,18135.0,10146.0,11244.0,2602.0,457.0,859.0,ZCTA5 00674,00674
30,37.3,38999.0,21079.0,14374.0,7677.0,9275.0,2772.0,420.0,766.0,ZCTA5 00676,00676
31,42.7,14855.0,7228.0,16792.0,9421.0,4420.0,944.0,428.0,829.0,ZCTA5 00677,00677
32,39.1,26815.0,15094.0,15347.0,8519.0,6619.0,1294.0,451.0,755.0,ZCTA5 00678,00678
33,39.2,52431.0,26188.0,14567.0,9320.0,13445.0,3925.0,390.0,746.0,ZCTA5 00680,00680
34,36.2,32431.0,16886.0,15363.0,10784.0,8026.0,2322.0,358.0,872.0,ZCTA5 00682,00682
35,42.0,32569.0,16086.0,14913.0,9546.0,8468.0,631.0,368.0,775.0,ZCTA5 00683,00683
36,41.3,40800.0,22942.0,14343.0,7511.0,8860.0,3703.0,365.0,718.0,ZCTA5 00685,00685
37,35.2,32294.0,17745.0,16536.0,7465.0,7740.0,2534.0,472.0,722.0,ZCTA5 00687,00687
38,39.3,12870.0,6462.0,14213.0,7870.0,3124.0,410.0,482.0,681.0,ZCTA5 00688,00688
39,38.1,5565.0,2283.0,20274.0,11415.0,1592.0,436.0,561.0,735.0,ZCTA5 00690,00690
40,36.1,36777.0,18108.0,17987.0,9959.0,9189.0,2588.0,498.0,909.0,ZCTA5 00692,00692
41,38.7,58615.0,28081.0,17156.0,9159.0,14184.0,2499.0,554.0,859.0,ZCTA5 00693,00693
42,70.4,77.0,56.0,11198.0,7627.0,0.0,0.0,,,ZCTA5 00694,00694
43,40.9,39395.0,20061.0,14766.0,7768.0,8938.0,3299.0,383.0,743.0,ZCTA5 00698,00698
44,37.5,28165.0,15261.0,14680.0,8252.0,6633.0,2106.0,430.0,808.0,ZCTA5 00703,00703
45,34.7,8007.0,4078.0,13756.0,7829.0,2107.0,343.0,359.0,619.0,ZCTA5 00704,00704
46,39.8,24717.0,11834.0,17238.0,8802.0,5892.0,380.0,409.0,750.0,ZCTA5 00705,00705
47,41.5,11701.0,6533.0,19541.0,8374.0,2459.0,952.0,345.0,720.0,ZCTA5 00707,00707
48,37.2,18988.0,9990.0,15349.0,7573.0,4000.0,1187.0,453.0,651.0,ZCTA5 00714,00714
49,41.3,3586.0,2516.0,12027.0,6492.0,744.0,213.0,300.0,649.0,ZCTA5 00715,00715
50,39.3,30876.0,15147.0,18331.0,13279.0,8244.0,2109.0,379.0,829.0,ZCTA5 00716,00716
51,34.6,17704.0,10350.0,11664.0,9250.0,4353.0,1355.0,337.0,828.0,ZCTA5 00717,00717
52,35.8,26547.0,14051.0,18614.0,9731.0,7246.0,896.0,418.0,698.0,ZCTA5 00718,00718
53,37.0,30588.0,14949.0,17686.0,9267.0,7576.0,2072.0,434.0,700.0,ZCTA5 00719,00719
54,36.3,22676.0,13414.0,14144.0,6753.0,4569.0,2077.0,352.0,692.0,ZCTA5 00720,00720
55,41.7,18441.0,10900.0,13284.0,7643.0,3884.0,1473.0,336.0,663.0,ZCTA5 00723,00723
56,38.7,86276.0,36856.0,19961.0,11681.0,28245.0,6418.0,465.0,930.0,ZCTA5 00725,00725
57,38.3,56503.0,17452.0,29995.0,15991.0,21352.0,2945.0,667.0,1030.0,ZCTA5 00727,00727
58,36.8,41337.0,20580.0,16949.0,8861.0,11114.0,2639.0,461.0,769.0,ZCTA5 00728,00728
59,37.0,53439.0,22695.0,20574.0,10603.0,16714.0,4911.0,501.0,868.0,ZCTA5 00729,00729
60,39.0,34965.0,18577.0,15097.0,10264.0,8551.0,2597.0,383.0,795.0,ZCTA5 00730,00730
61,41.0,14382.0,7905.0,15141.0,9231.0,4025.0,666.0,368.0,755.0,ZCTA5 00731,00731
62,40.3,13063.0,5536.0,20925.0,10295.0,3832.0,517.0,477.0,711.0,ZCTA5 00735,00735
63,39.6,50335.0,21250.0,20760.0,12229.0,16755.0,2698.0,459.0,886.0,ZCTA5 00736,00736
64,39.4,33205.0,14727.0,19708.0,10764.0,10370.0,3398.0,471.0,761.0,ZCTA5 00738,00738
65,37.5,37970.0,14501.0,23266.0,11919.0,13812.0,2008.0,496.0,925.0,ZCTA5 00739,00739
66,34.8,1515.0,933.0,13750.0,7205.0,377.0,211.0,,656.0,ZCTA5 00740,00740
67,41.6,5514.0,2396.0,21690.0,8837.0,1482.0,455.0,597.0,644.0,ZCTA5 00741,00741
68,38.5,53797.0,20351.0,22577.0,10499.0,17370.0,5358.0,531.0,879.0,ZCTA5 00745,00745
69,37.2,22777.0,13230.0,15091.0,8302.0,5763.0,754.0,367.0,743.0,ZCTA5 00751,00751
70,38.9,39651.0,19060.0,16571.0,10026.0,11289.0,2098.0,466.0,835.0,ZCTA5 00754,00754
71,35.5,22913.0,11470.0,15674.0,9199.0,6895.0,961.0,409.0,787.0,ZCTA5 00757,00757
72,42.8,8993.0,3523.0,17934.0,8783.0,2812.0,387.0,599.0,682.0,ZCTA5 00765,00765
73,36.0,24875.0,13358.0,17611.0,8399.0,6805.0,2374.0,326.0,737.0,ZCTA5 00766,00766
74,39.7,36340.0,18935.0,15666.0,7961.0,8083.0,2592.0,419.0,674.0,ZCTA5 00767,00767
75,37.8,39670.0,19329.0,18390.0,9719.0,11469.0,1497.0,440.0,717.0,ZCTA5 00769,00769
76,37.0,38340.0,18860.0,18827.0,9825.0,9985.0,2925.0,456.0,867.0,ZCTA5 00771,00771
