,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
0,37.1,18088.0,10911.0,10833.0,7229.0,4045.0,1992.0,367.0,722.0,ZCTA5 00601,00601
1,39.0,40859.0,21724.0,16353.0,9048.0,11268.0,4347.0,411.0,843.0,ZCTA5 00602,00602
2,39.2,53162.0,26027.0,16323.0,9888.0,12341.0,4053.0,369.0,841.0,ZCTA5 00603,00603
3,39.2,6415.0,3778.0,14138.0,6385.0,1701.0,172.0,326.0,569.0,ZCTA5 00606,00606
4,39.7,28805.0,14149.0,17265.0,8197.0,8037.0,1291.0,419.0,752.0,ZCTA5 00610,00610
5,39.3,66251.0,30858.0,17752.0,10201.0,17489.0,4075.0,411.0,780.0,ZCTA5 00612,00612
6,41.6,10466.0,5174.0,15115.0,8533.0,2865.0,323.0,454.0,737.0,ZCTA5 00616,00616
7,36.6,24917.0,13399.0,15461.0,8024.0,5499.0,1141.0,446.0,765.0,ZCTA5 00617,00617
8,41.6,6589.0,3963.0,14993.0,9611.0,1295.0,143.0,564.0,857.0,ZCTA5 00622,00622
9,40.2,44117.0,21791.0,17044.0,9075.0,11066.0,1546.0,397.0,802.0,ZCTA5 00623,00623
10,34.8,24902.0,14829.0,15467.0,6981.0,5988.0,2270.0,385.0,711.0,ZCTA5 00624,00624
11,38.4,34438.0,15178.0,19490.0,9493.0,9671.0,2319.0,433.0,778.0,ZCTA5 00627,00627
12,40.8,1847.0,1075.0,9613.0,5474.0,393.0,260.0,289.0,771.0,ZCTA5 00631,00631
13,38.9,24799.0,12537.0,14977.0,7988.0,5323.0,1859.0,414.0,693.0,ZCTA5 00637,00637
14,38.0,18365.0,10921.0,12588.0,6660.0,3609.0,1003.0,356.0,780.0,ZCTA5 00638,00638
15,39.2,30183.0,16240.0,15542.0,7701.0,6307.0,3047.0,400.0,661.0,ZCTA5 00641,00641
16,38.0,38305.0,13785.0,27924.0,14753.0,12302.0,2664.0,666.0,1191.0,ZCTA5 00646,00646
17,46.6,5245.0,2882.0,13668.0,7388.0,1086.0,294.0,494.0,603.0,ZCTA5 00647,00647
18,37.3,14679.0,7947.0,15090.0,7170.0,3585.0,889.0,430.0,650.0,ZCTA5 00650,00650
19,39.9,3831.0,1873.0,14903.0,10640.0,1024.0,88.0,398.0,834.0,ZCTA5 00652,00652
20,36.7,13427.0,9128.0,13596.0,6347.0,2525.0,1389.0,354.0,627.0,ZCTA5 00653,00653
21,37.2,20839.0,11290.0,15440.0,7561.0,4642.0,1469.0,336.0,732.0,ZCTA5 00656,00656
22,38.4,41830.0,19270.0,19130.0,9632.0,12413.0,2575.0,432.0,791.0,ZCTA5 00659,00659
23,43.0,17023.0,6039.0,21323.0,10700.0,4774.0,1280.0,454.0,739.0,ZCTA5 00660,00660
24,38.9,43101.0,23452.0,16050.0,8584.0,10408.0,2481.0,467.0,748.0,ZCTA5 00662,00662
25,34.5,16298.0,9264.0,15976.0,7410.0,3560.0,1662.0,413.0,612.0,ZCTA5 00664,00664
26,41.0,25510.0,15260.0,13527.0,6946.0,5018.0,865.0,439.0,709.0,ZCTA5 00667,00667
27,38.3,28442.0,16781.0,11967.0,7109.0,6249.0,3082.0,405.0,655.0,ZCTA5 00669,00669
28,38.0,9478.0,5301.0,14989.0,6979.0,2578.0,179.0,294.0,688.0,ZCTA5 00670,00670
29,38.5,43240.0,19424.0,18796.0,10347.0,11477.0,2990.0,447.0,875.0,ZCTA5 00674,00674
