,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Median Home Rent,Median Monthly Owner Costs,Name,Zipcode
30665,39.7,43924.0,3460.0,85479.0,37705.0,1456.0,2612.0,ZCTA5 93010,93010
30666,40.6,34964.0,1136.0,94368.0,43007.0,1863.0,2694.0,ZCTA5 93012,93012
30667,42.4,16156.0,1097.0,69766.0,38113.0,1425.0,2689.0,ZCTA5 93013,93013
30668,31.0,17440.0,3346.0,57971.0,20939.0,1205.0,2328.0,ZCTA5 93015,93015
30669,36.5,35847.0,2551.0,97079.0,35680.0,1705.0,2733.0,ZCTA5 93021,93021
30670,44.6,6726.0,488.0,75756.0,34070.0,1320.0,2146.0,ZCTA5 93022,93022
30671,47.7,20512.0,2619.0,62133.0,36758.0,1280.0,2604.0,ZCTA5 93023,93023
30672,29.2,59435.0,10862.0,55271.0,19429.0,1253.0,2239.0,ZCTA5 93030,93030
30673,28.9,81644.0,15786.0,53400.0,15401.0,1214.0,1900.0,ZCTA5 93033,93033
30674,40.4,27207.0,1988.0,80538.0,37932.0,1769.0,2377.0,ZCTA5 93035,93035
30675,30.4,43568.0,6187.0,65432.0,22592.0,1290.0,2378.0,ZCTA5 93036,93036
30676,29.3,1914.0,254.0,45486.0,16056.0,924.0,1490.0,ZCTA5 93040,93040
30677,30.9,23874.0,3818.0,52814.0,23974.0,1468.0,1996.0,ZCTA5 93041,93041
30678,22.6,64.0,0.0,,41822.0,,,ZCTA5 93042,93042
30679,,0.0,0.0,,,,,ZCTA5 93043,93043
30680,31.0,33489.0,6280.0,55038.0,20258.0,1132.0,2186.0,ZCTA5 93060,93060
30681,38.4,55846.0,4492.0,84216.0,34205.0,1626.0,2455.0,ZCTA5 93063,93063
30682,,0.0,0.0,,,,,ZCTA5 93064,93064
30683,38.1,71899.0,3986.0,91686.0,38257.0,1709.0,2586.0,ZCTA5 93065,93065
30684,45.1,3240.0,401.0,85363.0,51619.0,1377.0,3264.0,ZCTA5 93066,93066
30685,49.2,543.0,26.0,74832.0,70229.0,1197.0,2125.0,ZCTA5 93067,93067
30686,31.2,32523.0,6041.0,55042.0,27139.0,1371.0,2840.0,ZCTA5 93101,93101
30687,35.1,20607.0,3019.0,67053.0,34673.0,1521.0,3118.0,ZCTA5 93103,93103
30688,47.9,24379.0,2075.0,81035.0,50397.0,1593.0,3115.0,ZCTA5 93105,93105
30689,51.4,11446.0,734.0,119539.0,78530.0,2001.0,4001.0,ZCTA5 93108,93108
30690,40.8,10443.0,932.0,88750.0,53318.0,1983.0,2916.0,ZCTA5 93109,93109
30691,42.0,17572.0,1441.0,76215.0,42557.0,1421.0,2872.0,ZCTA5 93110,93110
30692,46.3,17313.0,748.0,95560.0,43533.0,1899.0,3050.0,ZCTA5 93111,93111
30693,21.9,54251.0,12866.0,56669.0,22722.0,1457.0,2557.0,ZCTA5 93117,93117
30694,23.5,1084.0,523.0,27443.0,10863.0,592.0,1156.0,ZCTA5 93201,93201
30695,28.4,3738.0,897.0,40484.0,12112.0,916.0,979.0,ZCTA5 93202,93202
30696,23.6,21208.0,6730.0,33147.0,10394.0,801.0,1105.0,ZCTA5 93203,93203
30697,30.1,15001.0,4507.0,28794.0,8013.0,701.0,1068.0,ZCTA5 93204,93204
30698,54.2,2190.0,505.0,21552.0,19001.0,596.0,974.0,ZCTA5 93205,93205
30699,30.1,2240.0,715.0,43355.0,15325.0,598.0,1323.0,ZCTA5 93206,93206
30700,56.2,304.0,71.0,34500.0,21743.0,800.0,1260.0,ZCTA5 93207,93207
30701,56.7,142.0,0.0,81071.0,43782.0,,,ZCTA5 93208,93208
30702,34.5,21846.0,4303.0,47088.0,15701.0,760.0,1581.0,ZCTA5 93210,93210
30703,36.1,25618.0,3973.0,33756.0,8700.0,773.0,1193.0,ZCTA5 93212,93212
30704,29.0,56141.0,14052.0,35195.0,10595.0,756.0,1240.0,ZCTA5 93215,93215
30705,26.3,845.0,353.0,29375.0,12442.0,784.0,1219.0,ZCTA5 93218,93218
30706,22.2,9570.0,4731.0,25000.0,8257.0,598.0,1012.0,ZCTA5 93219,93219
30707,19.4,255.0,52.0,,7331.0,,,ZCTA5 93220,93220
30708,33.5,15488.0,3811.0,44463.0,22625.0,855.0,1519.0,ZCTA5 93221,93221
30709,50.6,1555.0,159.0,44179.0,28479.0,1352.0,1592.0,ZCTA5 93222,93222
30710,26.0,10695.0,3561.0,32197.0,11114.0,715.0,1007.0,ZCTA5 93223,93223
30711,38.9,459.0,37.0,60114.0,27536.0,678.0,1232.0,ZCTA5 93224,93224
30712,44.3,5373.0,495.0,55313.0,26798.0,946.0,1461.0,ZCTA5 93225,93225
30713,47.7,382.0,81.0,44107.0,29310.0,1063.0,1488.0,ZCTA5 93226,93226
30714,31.9,65927.0,12358.0,52611.0,22670.0,898.0,1577.0,ZCTA5 93230,93230
30715,23.0,6936.0,2735.0,23238.0,8987.0,602.0,1157.0,ZCTA5 93234,93234
30716,25.8,3924.0,1335.0,29688.0,10348.0,669.0,878.0,ZCTA5 93235,93235
30717,56.4,1653.0,104.0,58480.0,34400.0,803.0,2472.0,ZCTA5 93238,93238
30718,27.6,1720.0,340.0,41912.0,14960.0,758.0,889.0,ZCTA5 93239,93239
30719,51.1,5100.0,1506.0,22706.0,20258.0,628.0,1125.0,ZCTA5 93240,93240
30720,24.6,18541.0,5784.0,32490.0,10512.0,715.0,1113.0,ZCTA5 93241,93241
30721,33.4,3267.0,570.0,41325.0,20465.0,699.0,1188.0,ZCTA5 93242,93242
30722,25.5,1419.0,102.0,64611.0,20174.0,738.0,1246.0,ZCTA5 93243,93243
30723,48.7,293.0,84.0,34500.0,21319.0,550.0,1493.0,ZCTA5 93244,93244
30724,27.2,36708.0,5162.0,51850.0,22875.0,1001.0,1869.0,ZCTA5 93245,93245
30725,27.7,18417.0,6551.0,35799.0,13604.0,725.0,1357.0,ZCTA5 93247,93247
30726,22.3,2459.0,760.0,32768.0,8892.0,616.0,1195.0,ZCTA5 93249,93249
30727,24.4,13493.0,4127.0,35616.0,9198.0,799.0,1156.0,ZCTA5 93250,93250
30728,33.7,233.0,7.0,38750.0,16661.0,315.0,775.0,ZCTA5 93251,93251
30729,38.3,3830.0,505.0,31550.0,9659.0,789.0,965.0,ZCTA5 93252,93252
30730,35.2,611.0,148.0,37679.0,16720.0,770.0,1526.0,ZCTA5 93254,93254
30731,61.5,627.0,185.0,31250.0,24502.0,,1112.0,ZCTA5 93255,93255
30732,21.7,5591.0,2638.0,27305.0,10829.0,730.0,884.0,ZCTA5 93256,93256
30733,29.3,76470.0,21411.0,40851.0,16371.0,757.0,1283.0,ZCTA5 93257,93257
30734,24.0,1854.0,1117.0,20417.0,7061.0,686.0,856.0,ZCTA5 93258,93258
30735,63.2,162.0,21.0,25089.0,24664.0,,863.0,ZCTA5 93260,93260
30736,22.8,3317.0,1428.0,29528.0,8477.0,612.0,885.0,ZCTA5 93261,93261
30737,46.5,45.0,30.0,,,,,ZCTA5 93262,93262
30738,27.5,19613.0,4059.0,41448.0,15256.0,730.0,1344.0,ZCTA5 93263,93263
30739,56.6,2879.0,263.0,47058.0,29555.0,770.0,1823.0,ZCTA5 93265,93265
30740,25.2,1378.0,668.0,28700.0,9707.0,644.0,1150.0,ZCTA5 93266,93266
30741,28.4,7010.0,2664.0,31865.0,12178.0,722.0,1096.0,ZCTA5 93267,93267
30742,32.0,17143.0,3362.0,45024.0,19797.0,871.0,1309.0,ZCTA5 93268,93268
30743,28.3,5615.0,1992.0,30142.0,13213.0,615.0,1420.0,ZCTA5 93270,93270
30744,54.0,2155.0,212.0,39345.0,31445.0,702.0,1813.0,ZCTA5 93271,93271
30745,24.3,3396.0,551.0,37448.0,12151.0,855.0,1117.0,ZCTA5 93272,93272
30746,29.9,70820.0,15189.0,44775.0,18292.0,897.0,1391.0,ZCTA5 93274,93274
30747,23.9,148.0,59.0,46250.0,17563.0,813.0,950.0,ZCTA5 93276,93276
30748,33.6,51604.0,8977.0,50066.0,23703.0,941.0,1587.0,ZCTA5 93277,93277
30749,28.4,27162.0,6829.0,39038.0,10749.0,660.0,1206.0,ZCTA5 93280,93280
30750,57.1,2319.0,581.0,24821.0,18616.0,573.0,759.0,ZCTA5 93283,93283
30751,56.8,2005.0,500.0,31761.0,23866.0,589.0,1234.0,ZCTA5 93285,93285
30752,27.5,9950.0,2193.0,39783.0,14479.0,598.0,1227.0,ZCTA5 93286,93286
30753,55.2,112.0,0.0,58125.0,30029.0,,1545.0,ZCTA5 93287,93287
30754,29.9,53742.0,11318.0,52546.0,21780.0,872.0,1698.0,ZCTA5 93291,93291
30755,31.9,38107.0,7057.0,53507.0,22443.0,1055.0,1587.0,ZCTA5 93292,93292
30756,31.6,11396.0,3789.0,31721.0,20536.0,748.0,1772.0,ZCTA5 93301,93301
30757,28.8,52421.0,17648.0,35059.0,14398.0,863.0,1265.0,ZCTA5 93304,93304
30758,26.1,37194.0,15589.0,31179.0,13616.0,763.0,1204.0,ZCTA5 93305,93305
30759,30.1,67322.0,13662.0,54126.0,21827.0,939.0,1465.0,ZCTA5 93306,93306
30760,26.3,82472.0,26823.0,33711.0,11853.0,856.0,1166.0,ZCTA5 93307,93307
30761,33.7,53639.0,12553.0,42543.0,22646.0,875.0,1630.0,ZCTA5 93308,93308
30762,32.1,59489.0,11939.0,47593.0,23265.0,908.0,1441.0,ZCTA5 93309,93309
30763,31.7,42591.0,3748.0,86026.0,34121.0,1368.0,1934.0,ZCTA5 93311,93311
30764,32.7,55539.0,2644.0,90495.0,34249.0,1528.0,1947.0,ZCTA5 93312,93312
30765,29.9,44571.0,7425.0,61226.0,20066.0,1390.0,1522.0,ZCTA5 93313,93313
30766,37.9,22535.0,1507.0,95830.0,38474.0,1358.0,2392.0,ZCTA5 93314,93314
30767,31.0,28571.0,6203.0,52730.0,31608.0,1177.0,2387.0,ZCTA5 93401,93401
30768,47.9,14260.0,1273.0,57926.0,32306.0,1346.0,1927.0,ZCTA5 93402,93402
30769,22.7,33567.0,8477.0,40697.0,16090.0,1378.0,2509.0,ZCTA5 93405,93405
30770,,0.0,0.0,,,,,ZCTA5 93410,93410
30771,46.7,30401.0,2517.0,67035.0,34583.0,1239.0,2641.0,ZCTA5 93420,93420
30772,43.0,31349.0,3170.0,65657.0,31633.0,1148.0,2101.0,ZCTA5 93422,93422
30773,63.3,853.0,68.0,75043.0,52343.0,1109.0,3034.0,ZCTA5 93424,93424
30774,41.1,1372.0,114.0,63594.0,30590.0,1051.0,1894.0,ZCTA5 93426,93426
30775,43.7,5370.0,500.0,66628.0,33373.0,1045.0,2279.0,ZCTA5 93427,93427
30776,58.4,6393.0,509.0,59813.0,40682.0,1285.0,2354.0,ZCTA5 93428,93428
30777,59.1,94.0,0.0,68281.0,22561.0,,,ZCTA5 93429,93429
30778,58.8,2733.0,316.0,55956.0,41122.0,1268.0,1930.0,ZCTA5 93430,93430
30779,46.2,1041.0,53.0,60759.0,34510.0,1273.0,3406.0,ZCTA5 93432,93432
