,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
18422,35.9,44736.0,4150.0,66198.0,32425.0,24778.0,1280.0,1022.0,1515.0,ZCTA5 55337,55337
18423,39.0,1024.0,64.0,64531.0,27117.0,549.0,25.0,880.0,1403.0,ZCTA5 55338,55338
18424,41.7,1008.0,26.0,72750.0,35753.0,616.0,24.0,695.0,1559.0,ZCTA5 55339,55339
18425,41.7,7299.0,483.0,115000.0,60070.0,3856.0,129.0,1457.0,2368.0,ZCTA5 55340,55340
18426,35.2,3019.0,44.0,92500.0,36659.0,1646.0,42.0,669.0,1796.0,ZCTA5 55341,55341
18427,46.0,1978.0,147.0,60435.0,30258.0,1028.0,49.0,738.0,1063.0,ZCTA5 55342,55342
18428,35.0,25561.0,2581.0,59123.0,35996.0,14658.0,558.0,1030.0,1572.0,ZCTA5 55343,55343
18429,32.2,16294.0,1327.0,66402.0,40932.0,8951.0,457.0,1189.0,1578.0,ZCTA5 55344,55344
18430,45.8,22109.0,959.0,94681.0,48550.0,11581.0,552.0,1175.0,2037.0,ZCTA5 55345,55345
18431,42.3,16602.0,709.0,108750.0,50851.0,9771.0,289.0,1455.0,1911.0,ZCTA5 55346,55346
18432,41.9,30310.0,711.0,126256.0,64003.0,16696.0,437.0,1450.0,2235.0,ZCTA5 55347,55347
18433,40.8,4004.0,344.0,57083.0,28522.0,2030.0,165.0,779.0,1516.0,ZCTA5 55349,55349
18434,39.8,17682.0,1048.0,57263.0,30097.0,9801.0,350.0,773.0,1198.0,ZCTA5 55350,55350
18435,36.6,9069.0,435.0,74250.0,32201.0,4879.0,167.0,1000.0,1841.0,ZCTA5 55352,55352
18436,42.6,3204.0,222.0,61912.0,30438.0,1701.0,70.0,813.0,1433.0,ZCTA5 55353,55353
18437,37.1,2807.0,280.0,59826.0,26774.0,1437.0,68.0,510.0,1386.0,ZCTA5 55354,55354
18438,42.7,9656.0,1073.0,58913.0,28607.0,4928.0,171.0,723.0,1222.0,ZCTA5 55355,55355
18439,46.9,5082.0,214.0,117984.0,84753.0,2596.0,98.0,1049.0,3041.0,ZCTA5 55356,55356
18440,44.4,3356.0,60.0,83319.0,42154.0,1678.0,53.0,663.0,1967.0,ZCTA5 55357,55357
18441,43.4,5124.0,356.0,66732.0,33804.0,2750.0,156.0,915.0,1539.0,ZCTA5 55358,55358
18442,45.3,6503.0,460.0,88079.0,45463.0,3269.0,168.0,835.0,2115.0,ZCTA5 55359,55359
18443,33.6,2921.0,101.0,86207.0,30595.0,1643.0,83.0,1125.0,1650.0,ZCTA5 55360,55360
18444,35.3,19035.0,864.0,72705.0,30459.0,10139.0,521.0,972.0,1426.0,ZCTA5 55362,55362
18445,31.9,4595.0,522.0,64617.0,26303.0,2442.0,141.0,886.0,1383.0,ZCTA5 55363,55363
18446,44.1,14675.0,903.0,98906.0,55280.0,8431.0,302.0,864.0,2068.0,ZCTA5 55364,55364
18447,38.8,439.0,51.0,36250.0,19053.0,205.0,43.0,539.0,1167.0,ZCTA5 55366,55366
18448,36.9,959.0,72.0,64750.0,28334.0,573.0,34.0,736.0,1588.0,ZCTA5 55367,55367
18449,38.3,2210.0,72.0,58800.0,27369.0,1257.0,26.0,561.0,1562.0,ZCTA5 55368,55368
18450,41.2,34514.0,1741.0,79544.0,38476.0,19652.0,824.0,1242.0,1552.0,ZCTA5 55369,55369
18451,48.4,804.0,20.0,76875.0,33906.0,469.0,17.0,1031.0,1601.0,ZCTA5 55370,55370
18452,39.0,16228.0,1166.0,59993.0,27550.0,8384.0,413.0,907.0,1396.0,ZCTA5 55371,55371
18453,40.5,32541.0,1710.0,102757.0,43073.0,17585.0,619.0,1135.0,1985.0,ZCTA5 55372,55372
18454,38.0,5686.0,491.0,80991.0,39396.0,3219.0,118.0,874.0,1633.0,ZCTA5 55373,55373
18455,38.1,14391.0,267.0,105056.0,40181.0,7870.0,159.0,1235.0,1965.0,ZCTA5 55374,55374
18456,32.7,5163.0,206.0,106066.0,38013.0,2856.0,170.0,1288.0,2030.0,ZCTA5 55375,55375
18457,35.2,17159.0,328.0,96188.0,31302.0,9614.0,411.0,1537.0,1704.0,ZCTA5 55376,55376
18458,35.3,29196.0,1473.0,100295.0,40599.0,16725.0,537.0,1110.0,1849.0,ZCTA5 55378,55378
18459,33.1,43533.0,3146.0,78417.0,32430.0,23099.0,1287.0,1154.0,1713.0,ZCTA5 55379,55379
18460,43.8,2029.0,182.0,57829.0,27371.0,1162.0,45.0,618.0,1200.0,ZCTA5 55381,55381
18461,44.1,3794.0,195.0,70043.0,28906.0,1969.0,101.0,950.0,1450.0,ZCTA5 55382,55382
18462,55.2,1842.0,147.0,50521.0,40036.0,833.0,26.0,991.0,1913.0,ZCTA5 55384,55384
18463,45.5,1268.0,111.0,58036.0,28944.0,696.0,38.0,681.0,1286.0,ZCTA5 55385,55385
18464,36.2,7353.0,192.0,132199.0,49003.0,3853.0,65.0,919.0,2494.0,ZCTA5 55386,55386
18465,37.8,12989.0,275.0,87454.0,37075.0,6991.0,208.0,875.0,1888.0,ZCTA5 55387,55387
18466,38.8,5747.0,533.0,72847.0,39100.0,3143.0,178.0,631.0,1642.0,ZCTA5 55388,55388
18467,39.4,2550.0,193.0,57895.0,26014.0,1248.0,62.0,531.0,1368.0,ZCTA5 55389,55389
18468,34.7,2565.0,140.0,75766.0,31790.0,1377.0,48.0,1053.0,1625.0,ZCTA5 55390,55390
18469,48.3,16172.0,698.0,103456.0,77382.0,7864.0,259.0,1068.0,2688.0,ZCTA5 55391,55391
18470,37.5,2920.0,181.0,55682.0,25288.0,1480.0,64.0,659.0,1312.0,ZCTA5 55395,55395
18471,46.7,2094.0,274.0,57361.0,27726.0,1106.0,40.0,692.0,1053.0,ZCTA5 55396,55396
18472,42.6,2774.0,197.0,69700.0,33814.0,1612.0,77.0,783.0,1526.0,ZCTA5 55397,55397
18473,34.4,16109.0,721.0,80000.0,31025.0,8517.0,499.0,1090.0,1519.0,ZCTA5 55398,55398
