,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
39,33.2,6174,3061,17208,8296,1530,539,531,739,ZCTA5 00690,690
40,34.6,37615,18212,18145,9255,9381,2293,507,882,ZCTA5 00692,692
41,36.8,60873,31447,16230,8646,14213,2101,562,846,ZCTA5 00693,693
42,72.2,152,128,9500,7061,13,0,,,ZCTA5 00694,694
43,38.4,41788,22771,14810,7281,9674,4359,375,728,ZCTA5 00698,698
44,35.2,29175,16969,13687,6828,6675,1021,449,771,ZCTA5 00703,703
45,34,7950,4268,13327,7443,2095,628,426,617,ZCTA5 00704,704
46,37.1,25575,12653,15930,8594,6657,750,373,745,ZCTA5 00705,705
47,37.7,12201,7053,16043,7416,2851,1021,321,714,ZCTA5 00707,707
48,35.2,19542,10377,16114,8091,4623,1847,450,657,ZCTA5 00714,714
49,41.6,4270,2611,15029,9976,1106,384,284,555,ZCTA5 00715,715
50,36.5,32840,15485,18845,11754,9958,2596,326,822,ZCTA5 00716,716
51,33.7,18615,10343,14178,9317,5103,1616,427,838,ZCTA5 00717,717
52,34.1,26604,14113,16655,8245,7487,1646,430,691,ZCTA5 00718,718
53,34.9,30992,16176,16062,8366,7462,677,377,780,ZCTA5 00719,719
54,34.8,23259,13847,14274,6709,5409,2183,323,733,ZCTA5 00720,720
55,38.3,19225,10528,14777,7375,4403,1839,383,627,ZCTA5 00723,723
56,37,91035,36671,20944,11368,30136,5962,450,933,ZCTA5 00725,725
57,37.6,56679,17221,28864,14976,21004,2774,657,1060,ZCTA5 00727,727
58,35.7,43260,19629,18849,8934,12218,3291,454,763,ZCTA5 00728,728
59,34.2,54914,22481,23574,10161,18183,3977,495,859,ZCTA5 00729,729
60,36.3,39124,19646,16595,9886,10789,3323,400,804,ZCTA5 00730,730
61,40.3,13869,7295,14974,8236,3740,1369,284,688,ZCTA5 00731,731
62,38.6,13803,5600,20543,9261,4125,604,471,746,ZCTA5 00735,735
63,36.8,51689,20403,20874,10477,17355,3002,425,835,ZCTA5 00736,736
64,38,35127,14203,21779,10805,11134,2552,482,738,ZCTA5 00738,738
65,36.8,39171,14448,24295,11507,14603,1987,491,947,ZCTA5 00739,739
66,28.8,1730,1140,11429,6671,497,207,147,591,ZCTA5 00740,740
67,37.5,5189,2488,17192,8302,1412,324,632,703,ZCTA5 00741,741
68,37,54984,21404,22931,10967,17612,4739,465,888,ZCTA5 00745,745
69,36.2,23203,13966,13323,7525,5660,1651,388,703,ZCTA5 00751,751
70,36.9,40631,18514,18029,9915,12337,1995,476,849,ZCTA5 00754,754
71,33.7,23261,11255,18024,9159,6917,1052,408,764,ZCTA5 00757,757
72,41.9,9236,4140,16747,8246,3015,438,397,630,ZCTA5 00765,765
73,33.3,26315,14253,15859,7547,6900,2719,275,672,ZCTA5 00766,766
74,36.7,37863,19214,17965,7852,8883,2699,404,661,ZCTA5 00767,767
75,35.1,40088,21002,16799,8363,10780,1675,373,683,ZCTA5 00769,769
76,35.6,38231,18365,19198,9881,10918,2532,440,813,ZCTA5 00771,771
77,35.2,21883,11453,16151,7719,6225,2354,396,651,ZCTA5 00772,772
78,37.6,20050,8657,20084,10823,6124,1880,465,798,ZCTA5 00773,773
79,39.9,1535,877,16375,8466,567,56,380,1082,ZCTA5 00775,775
80,34.3,40945,18122,19053,9593,12026,2668,448,811,ZCTA5 00777,777
81,35.7,45564,15410,27859,13585,16761,2519,513,1096,ZCTA5 00778,778
82,38.1,13340,5638,23491,12948,4698,1094,511,1013,ZCTA5 00780,780
83,35.6,18989,11042,12503,7146,4311,494,331,726,ZCTA5 00782,782
84,34.9,36756,19565,15813,7390,8713,1173,393,766,ZCTA5 00783,783
85,34.6,44782,20643,17680,9008,12102,3324,460,739,ZCTA5 00784,784
86,36.9,386,12,23214,11256,114,0,,694,ZCTA5 00786,786
87,38.3,53104,23049,20336,10829,15353,3108,417,898,ZCTA5 00791,791
88,32.1,30674,17363,14786,6937,7400,1038,378,701,ZCTA5 00794,794
89,34.7,48403,25303,17006,8107,13228,3005,446,764,ZCTA5 00795,795
90,42.2,6257,2427,15608,22628,1905,475,423,2293,ZCTA5 00901,901
91,27.4,36,0,32500,19611,22,0,,1625,ZCTA5 00906,906
92,47.7,17049,4998,32025,29357,7295,733,681,1470,ZCTA5 00907,907
93,38,5394,2791,14912,10367,1854,529,490,1070,ZCTA5 00909,909
94,48.6,7481,1912,28578,27331,3406,337,607,1603,ZCTA5 00911,911
95,39.7,6353,2835,18934,12797,2440,660,539,1133,ZCTA5 00912,912
96,27.7,8648,6142,7892,10847,1879,1043,200,2335,ZCTA5 00913,913
97,35.7,32368,19545,12926,7029,9558,3350,388,808,ZCTA5 00915,915
98,44.7,21275,9676,17017,12673,7064,1933,450,947,ZCTA5 00917,917
99,38.8,16890,6413,28710,22160,7147,1082,332,1340,ZCTA5 00918,918
100,42.7,19528,6472,25191,15098,7840,1623,699,1018,ZCTA5 00920,920
101,36,38800,17525,19079,11405,12861,3735,533,1054,ZCTA5 00921,921
102,36.5,30072,14785,16164,10401,10294,2467,430,922,ZCTA5 00923,923
103,35,57860,25927,19720,11147,19304,4393,362,946,ZCTA5 00924,924
104,34.2,6896,3422,14209,10371,3172,604,472,1006,ZCTA5 00925,925
105,39.4,108427,27292,36008,21280,45096,4417,637,1338,ZCTA5 00926,926
106,44.4,15769,3293,34633,28626,6465,571,533,1664,ZCTA5 00927,927
107,29,266,74,64398,23214,40,0,1046,,ZCTA5 00934,934
108,52.5,1316,18,,15735,52,0,,,ZCTA5 00936,936
109,35.6,82068,30177,25173,11965,30030,5853,530,965,ZCTA5 00949,949
110,,0,0,,,0,0,,,ZCTA5 00950,950
111,55.8,16,16,10500,,10,0,,,ZCTA5 00951,951
112,37.8,10099,4378,17856,9100,3434,913,529,874,ZCTA5 00952,952
113,34.4,73159,26019,27554,12547,26058,4486,567,1081,ZCTA5 00953,953
114,37.8,79371,30344,22374,10530,27353,6977,575,883,ZCTA5 00956,956
115,36.8,46330,17633,22484,11084,14814,3542,563,929,ZCTA5 00957,957
116,38.1,48030,15129,26612,13900,17566,3270,518,1092,ZCTA5 00959,959
117,31.3,1585,14,,8766,0,0,,,ZCTA5 00960,960
118,40.6,33000,8499,30952,15349,11413,2348,502,1041,ZCTA5 00961,961
119,34.2,22200,12074,15565,7970,5976,2520,289,863,ZCTA5 00962,962
120,35.5,9256,5145,14874,7355,2758,1252,410,772,ZCTA5 00965,965
121,40.9,17445,3178,52813,32920,7729,994,660,1734,ZCTA5 00966,966
122,52.3,3986,408,40000,32422,1640,149,921,1485,ZCTA5 00968,968
123,39.4,42731,6998,50728,26075,18188,2125,728,1618,ZCTA5 00969,969
124,39.5,30042,11444,22550,12479,11297,2772,539,1145,ZCTA5 00971,971
125,36,64104,19995,30525,14682,24439,2190,519,1107,ZCTA5 00976,976
126,46.5,16247,2843,39747,26056,7472,667,782,1246,ZCTA5 00979,979
127,41.3,16656,4946,25489,12535,6442,877,554,958,ZCTA5 00982,982
128,36.3,42485,13102,27121,13904,15353,2531,564,1029,ZCTA5 00983,983
129,38.4,37382,12105,26653,12074,13122,2641,581,948,ZCTA5 00985,985
130,36,59995,16506,32364,13797,23321,3649,633,1058,ZCTA5 00987,987
131,42.9,17380,1251,63682,29158,9075,635,848,1549,ZCTA5 01001,1001
132,22.8,28718,6286,56175,28205,14713,1332,1092,2174,ZCTA5 01002,1002
133,19.9,11286,1,165865,3375,3838,1023,1673,,ZCTA5 01003,1003
134,41.5,5120,237,75856,32604,2714,289,775,1797,ZCTA5 01005,1005
135,39.8,14593,870,77617,33195,8120,569,895,1890,ZCTA5 01007,1007
136,46.7,1160,35,78313,33399,708,28,870,1581,ZCTA5 01008,1008
137,40.8,636,53,48472,28508,300,90,938,1845,ZCTA5 01009,1009
138,42.9,3610,159,79891,33625,2008,187,917,2013,ZCTA5 01010,1010
139,46.5,1326,98,59732,27424,720,62,715,1442,ZCTA5 01011,1011
140,51.6,506,30,56033,32069,291,20,936,1750,ZCTA5 01012,1012
141,36.6,21822,4283,41612,20940,9642,1123,767,1434,ZCTA5 01013,1013
142,42.9,30893,2614,51438,26408,14971,1587,772,1454,ZCTA5 01020,1020
143,33.5,2611,576,57750,26669,949,257,1492,1134,ZCTA5 01022,1022
144,46.8,1066,118,51932,30337,539,36,717,1533,ZCTA5 01026,1026
145,43.5,17622,1010,57134,31576,10230,789,875,1585,ZCTA5 01027,1027
146,44.3,15710,594,82451,36499,8020,513,660,1979,ZCTA5 01028,1028
147,49.1,601,80,61250,33293,280,40,,1137,ZCTA5 01029,1029
148,44.6,11096,867,73611,33044,6195,370,820,1736,ZCTA5 01030,1030
149,39,1547,352,46650,26542,646,134,748,1629,ZCTA5 01031,1031
150,44.9,626,26,65833,30047,367,19,881,1795,ZCTA5 01032,1032
151,46.1,6197,174,72731,32372,3515,133,685,1678,ZCTA5 01033,1033
152,45,1952,108,70625,31203,1003,102,1014,1686,ZCTA5 01034,1034
153,46.5,5239,413,77891,34366,2822,122,850,1866,ZCTA5 01035,1035
154,47.3,5096,233,82417,36152,2815,214,702,1840,ZCTA5 01036,1036
155,47.3,716,45,115250,40002,317,26,,1792,ZCTA5 01037,1037
156,43.8,2676,238,61346,33394,1436,107,869,1897,ZCTA5 01038,1038
157,49.8,1532,106,74464,38145,937,36,732,1621,ZCTA5 01039,1039
158,36.8,39996,11918,34961,20294,15478,2265,666,1469,ZCTA5 01040,1040
159,42.2,2670,182,64271,28548,1383,71,678,1609,ZCTA5 01050,1050
160,50.6,1926,235,67031,27417,722,126,938,1694,ZCTA5 01053,1053
161,48.6,1812,203,76875,40003,1036,47,1116,1814,ZCTA5 01054,1054
162,43.5,21146,1129,60774,29325,9976,786,847,1643,ZCTA5 01056,1056
163,45.7,8511,788,64538,31768,4448,473,851,1655,ZCTA5 01057,1057
164,34.1,15065,2271,50807,31993,8678,657,946,1870,ZCTA5 01060,1060
165,44.5,10980,849,63954,38366,5686,482,853,1808,ZCTA5 01062,1062
166,20.2,671,0,,2615,280,39,,,ZCTA5 01063,1063
167,,0,0,,,0,0,,,ZCTA5 01066,1066
168,44.3,1796,90,83519,32429,989,98,810,1818,ZCTA5 01068,1068
169,43.2,8881,734,52347,27929,4238,471,667,1587,ZCTA5 01069,1069
170,54.4,529,45,57000,29913,263,27,750,1589,ZCTA5 01070,1070
171,44.3,1485,72,72083,32491,850,62,989,1573,ZCTA5 01071,1071
172,46.2,1449,112,65500,35916,850,60,1107,1756,ZCTA5 01072,1072
173,44.8,5828,348,76264,33391,3273,150,1147,1780,ZCTA5 01073,1073
174,38.6,271,0,77159,37639,172,0,798,,ZCTA5 01074,1074
175,41.7,17705,1019,60931,30112,9223,644,791,1676,ZCTA5 01075,1075
176,43.1,9496,491,75743,34113,4925,356,918,1778,ZCTA5 01077,1077
177,43.4,492,25,41250,31254,296,37,908,2008,ZCTA5 01079,1079
178,37.7,2329,424,38173,20853,1077,181,808,1467,ZCTA5 01080,1080
179,42.7,1862,127,61447,30905,994,97,702,1745,ZCTA5 01081,1081
180,43.2,10265,1540,53362,28289,4855,636,741,1713,ZCTA5 01082,1082
181,42,2913,155,39833,27310,1242,123,737,1618,ZCTA5 01083,1083
182,53.8,239,11,66250,30732,123,11,99,1696,ZCTA5 01084,1084
183,39.9,40590,3364,57374,28530,19666,1654,812,1756,ZCTA5 01085,1085
184,19.9,1298,0,,2488,33,0,,,ZCTA5 01086,1086
185,60.1,595,206,31897,26169,221,10,752,1514,ZCTA5 01088,1088
186,39.7,28411,3506,54434,27966,13614,1455,783,1640,ZCTA5 01089,1089
187,32.1,1440,205,54527,27957,663,92,826,1738,ZCTA5 01092,1092
188,41.9,298,19,80625,34864,199,20,1333,1920,ZCTA5 01093,1093
189,60.6,240,21,16434,22283,96,11,297,1580,ZCTA5 01094,1094
190,47.4,14275,427,90275,40614,7129,463,801,2084,ZCTA5 01095,1095
191,44,2220,106,63036,31928,1164,42,811,1564,ZCTA5 01096,1096
192,22.7,83,2,39583,13816,50,12,,,ZCTA5 01097,1097
193,50.2,1138,54,66406,34830,617,39,756,1508,ZCTA5 01098,1098
194,33.1,2340,1005,15778,18828,932,133,740,1278,ZCTA5 01103,1103
195,35,22833,6049,33408,17123,8849,1478,726,1342,ZCTA5 01104,1104
196,25.7,12664,6406,18008,10509,3432,903,649,1358,ZCTA5 01105,1105
197,45.8,16079,667,96995,51751,7665,364,1186,2364,ZCTA5 01106,1106
198,27.2,11071,4711,20484,13037,3101,805,606,1442,ZCTA5 01107,1107
199,31.6,25551,6776,36590,18806,9548,2062,882,1498,ZCTA5 01108,1108
200,26.5,31503,9455,32174,13796,10226,2253,812,1331,ZCTA5 01109,1109
201,41,13762,1408,61488,27947,6720,526,712,1464,ZCTA5 01118,1118
202,33.8,14946,2087,47551,20212,6062,794,843,1448,ZCTA5 01119,1119
203,45.4,2347,28,79500,33275,1409,120,1531,1616,ZCTA5 01128,1128
204,38.3,7330,956,60481,27113,3748,449,1012,1522,ZCTA5 01129,1129
205,31.3,8655,3214,32034,18719,3164,463,894,1388,ZCTA5 01151,1151
206,,0,0,,,0,0,,,ZCTA5 01199,1199
207,43.4,45975,7176,42620,26391,21341,2482,749,1406,ZCTA5 01201,1201
208,42.9,8657,1001,40283,23811,4228,587,632,1255,ZCTA5 01220,1220
209,47.1,875,21,54886,32169,603,15,792,2003,ZCTA5 01222,1222
210,49.5,2399,275,46384,35768,1195,143,1100,1418,ZCTA5 01223,1223
211,23.7,291,19,87717,20715,159,20,,1194,ZCTA5 01224,1224
212,46.3,3036,408,49260,29793,1694,90,772,1435,ZCTA5 01225,1225
213,46,7024,596,51563,26918,3521,329,666,1451,ZCTA5 01226,1226
214,38.9,170,0,68958,32528,80,17,,1240,ZCTA5 01229,1229
215,47.3,8486,802,52305,35442,4476,239,934,1786,ZCTA5 01230,1230
216,46.1,2867,116,62446,27345,1491,139,642,1479,ZCTA5 01235,1235
217,44,1396,65,52083,31196,715,115,1089,1513,ZCTA5 01236,1236
218,40.1,2599,56,66136,35135,1372,134,815,1503,ZCTA5 01237,1237
219,44.3,6190,568,54155,30404,3318,368,773,1612,ZCTA5 01238,1238
220,51.9,4442,589,51154,35966,1619,233,774,1926,ZCTA5 01240,1240
221,16.1,569,2,113846,19437,162,0,,2059,ZCTA5 01242,1242
222,52,267,0,82778,31383,151,9,643,1344,ZCTA5 01243,1243
223,56.8,133,11,29444,16358,59,0,,1594,ZCTA5 01244,1244
224,55,821,131,53333,35743,317,36,888,1596,ZCTA5 01245,1245
225,40.6,16160,2380,39214,21594,7239,774,678,1202,ZCTA5 01247,1247
226,48.6,623,69,58750,46900,271,23,1033,1406,ZCTA5 01253,1253
227,54.3,1120,31,94766,52355,545,30,717,2036,ZCTA5 01254,1254
228,48.4,886,36,62708,30249,444,31,980,1367,ZCTA5 01255,1255
229,44.4,663,45,57000,27558,362,14,775,1342,ZCTA5 01256,1256
230,50.1,2072,274,65080,39334,1075,41,905,2037,ZCTA5 01257,1257
231,55,321,30,62981,38092,203,4,729,2153,ZCTA5 01258,1258
232,51.2,564,24,67500,41623,297,32,1017,1635,ZCTA5 01259,1259
233,49.4,157,0,70833,31485,81,10,1604,1950,ZCTA5 01260,1260
234,47.8,1171,167,33000,29348,447,23,924,1704,ZCTA5 01262,1262
235,67.1,143,2,71875,54176,76,3,967,2583,ZCTA5 01264,1264
236,52,1600,102,69769,40637,820,42,1013,1708,ZCTA5 01266,1266
237,43.8,7994,435,73042,37350,3240,241,866,1801,ZCTA5 01267,1267
238,48.2,776,22,74500,33167,404,10,,1537,ZCTA5 01270,1270
239,42.4,17843,2751,48442,26320,9072,840,788,1492,ZCTA5 01301,1301
240,48.5,1439,94,70870,36376,902,69,735,1610,ZCTA5 01330,1330
241,39.4,13520,1667,51488,23185,6005,853,678,1531,ZCTA5 01331,1331
242,48.1,2528,145,49659,28147,1344,110,1156,1533,ZCTA5 01337,1337
243,44.4,231,0,91250,33636,149,4,,1400,ZCTA5 01338,1338
244,49.5,1586,226,49271,29551,773,89,705,1471,ZCTA5 01339,1339
245,45.3,1671,151,54632,31227,946,81,850,1422,ZCTA5 01340,1340
246,48.6,1776,108,76818,35014,1033,85,920,1820,ZCTA5 01341,1341
247,43.1,1481,67,96622,41157,906,16,495,1971,ZCTA5 01342,1342
248,58.2,85,0,47083,29979,43,0,,,ZCTA5 01343,1343
249,39,1471,126,53182,23776,714,109,844,1277,ZCTA5 01344,1344
250,51.6,426,55,71250,31979,215,17,747,1905,ZCTA5 01346,1346
251,39.9,102,12,29485,12308,83,0,1014,,ZCTA5 01347,1347
252,47.4,847,139,52500,26995,420,26,971,1297,ZCTA5 01349,1349
253,40.3,105,13,37083,24348,66,7,825,979,ZCTA5 01350,1350
254,46.7,2367,127,58403,30762,1295,90,760,1677,ZCTA5 01351,1351
255,47.9,1565,140,67375,31622,887,38,748,1412,ZCTA5 01354,1354
256,42.3,895,64,63036,27234,475,38,1641,1489,ZCTA5 01355,1355
257,45.5,3043,142,62292,31829,1681,90,780,1730,ZCTA5 01360,1360
258,41,7966,1118,43470,21887,3221,558,709,1474,ZCTA5 01364,1364
259,49.4,1301,90,75694,30794,668,57,775,1644,ZCTA5 01366,1366
260,52.7,530,70,47500,25019,212,28,1038,1071,ZCTA5 01367,1367
261,46.4,1051,100,58359,30203,569,60,892,1284,ZCTA5 01368,1368
262,48.1,4127,332,58571,29556,2228,177,875,1522,ZCTA5 01370,1370
263,44.9,4631,223,59821,32824,2564,163,921,1738,ZCTA5 01373,1373
264,27.7,3690,656,53938,31784,2264,59,1056,2048,ZCTA5 01375,1375
265,41.6,5432,1078,39615,24004,2572,318,806,1398,ZCTA5 01376,1376
266,51.5,631,61,59750,33295,384,24,1085,1406,ZCTA5 01378,1378
267,48.9,1004,104,53594,28907,539,55,849,1315,ZCTA5 01379,1379
268,34.9,40327,7274,47421,22948,18704,2461,847,1703,ZCTA5 01420,1420
269,42.1,6077,344,81690,35060,3353,268,1096,1832,ZCTA5 01430,1430
270,43.8,3066,108,75435,31627,1714,73,1265,1757,ZCTA5 01431,1431
271,40.7,7105,775,58519,34516,3570,462,980,1946,ZCTA5 01432,1432
272,40.1,1564,204,101000,14330,191,65,2001,2065,ZCTA5 01434,1434
273,38.3,3641,377,68771,24596,1692,138,935,1960,ZCTA5 01436,1436
274,48.1,313,123,50599,29989,101,28,,1471,ZCTA5 01438,1438
275,40.1,20393,2490,48824,24116,8990,1137,722,1745,ZCTA5 01440,1440
276,43.5,10687,338,117037,48371,5363,297,1171,2653,ZCTA5 01450,1450
277,46.3,4915,236,144143,62680,2351,234,1397,3152,ZCTA5 01451,1451
278,42.6,4366,307,77694,31347,2256,245,885,1748,ZCTA5 01452,1452
279,40.9,41113,3996,59720,29118,20797,2324,877,1858,ZCTA5 01453,1453
280,43.2,8934,372,107518,44124,4481,207,1112,2397,ZCTA5 01460,1460
281,44.8,10356,532,78452,35944,5603,432,859,1977,ZCTA5 01462,1462
282,42,11537,481,85150,37286,6531,421,1144,2230,ZCTA5 01463,1463
283,38.6,7352,640,69750,24653,2777,240,1174,2081,ZCTA5 01464,1464
284,47.2,401,96,174861,52253,164,24,,3425,ZCTA5 01467,1467
285,42.6,3880,499,82849,27934,1988,222,1361,1791,ZCTA5 01468,1468
286,39.9,6822,300,79140,33436,3681,252,851,1871,ZCTA5 01469,1469
287,43,7282,368,80294,31891,4021,298,1029,1903,ZCTA5 01473,1473
288,40.7,2159,107,88646,34853,1144,77,884,2124,ZCTA5 01474,1474
289,42.8,10333,806,61937,27688,5189,314,719,1730,ZCTA5 01475,1475
290,43.3,16080,968,73561,33393,8561,558,852,1858,ZCTA5 01501,1501
291,45.3,2856,66,95438,43688,1626,110,1134,2581,ZCTA5 01503,1503
292,40.5,9030,353,74042,32808,4791,449,886,2120,ZCTA5 01504,1504
293,44.3,4341,57,94676,53898,2421,91,925,2328,ZCTA5 01505,1505
294,43,3378,87,62209,28619,1682,77,714,1602,ZCTA5 01506,1506
295,40.9,12947,610,95058,34114,6687,478,838,2008,ZCTA5 01507,1507
296,38.7,13618,1275,66308,30567,7301,842,961,1928,ZCTA5 01510,1510
297,42.8,2152,144,62202,29233,1116,117,942,1704,ZCTA5 01515,1515
298,39.6,8466,289,80885,34695,4745,558,989,1945,ZCTA5 01516,1516
299,34.8,3089,397,85224,33390,1301,72,571,1996,ZCTA5 01518,1518
300,38.2,6386,375,109050,45969,3302,160,924,2514,ZCTA5 01519,1519
301,41.6,14333,402,98879,40708,7394,516,815,2174,ZCTA5 01520,1520
302,43.4,2477,180,69097,31824,1401,113,888,1582,ZCTA5 01521,1521
303,42,2994,78,88155,37142,1681,164,823,2073,ZCTA5 01522,1522
304,40.3,7395,663,82741,30874,3302,228,954,2057,ZCTA5 01523,1523
305,39.4,7029,399,71528,30202,3822,349,542,1879,ZCTA5 01524,1524
306,32.5,136,0,44167,28660,45,20,,1517,ZCTA5 01525,1525
307,42.4,13257,557,73436,33863,7182,606,938,1862,ZCTA5 01527,1527
308,38.1,3168,275,73611,27322,1609,152,1054,1842,ZCTA5 01529,1529
309,40.6,1084,56,85625,32996,568,39,1016,1755,ZCTA5 01531,1531
310,41.8,14407,241,103506,46717,7585,503,1129,2566,ZCTA5 01532,1532
311,38.2,5168,64,91518,39306,2499,263,683,2146,ZCTA5 01534,1534
312,42.4,4681,315,58349,28463,2406,157,810,1595,ZCTA5 01535,1535
313,39.7,7156,552,89263,37253,3794,336,938,2139,ZCTA5 01536,1536
314,41.4,2334,127,69928,33744,1231,199,909,1695,ZCTA5 01537,1537
315,40.1,11237,561,64877,29736,6311,405,766,1723,ZCTA5 01540,1540
316,44.8,3423,149,109008,43774,1858,116,1127,2485,ZCTA5 01541,1541
317,45.5,1655,0,73000,32736,877,19,697,1875,ZCTA5 01542,1542
318,39.6,7967,369,86453,31804,4069,423,760,2095,ZCTA5 01543,1543
319,39,35413,1504,92100,39660,17953,1176,1184,2246,ZCTA5 01545,1545
320,36.7,16775,2662,46955,22331,7414,916,836,1756,ZCTA5 01550,1550
321,31.9,4290,276,68917,32561,1987,174,935,2425,ZCTA5 01560,1560
322,47.1,293,0,35761,16975,127,14,1031,,ZCTA5 01561,1561
323,40.2,11713,914,59359,30321,5889,653,817,1727,ZCTA5 01562,1562
324,43.2,7808,171,102847,42211,4165,163,978,2163,ZCTA5 01564,1564
325,45.1,6141,422,82171,38470,3184,192,1085,2234,ZCTA5 01566,1566
326,42.2,7367,365,114528,45382,3784,363,957,2556,ZCTA5 01568,1568
327,41.3,13422,799,84861,34909,7240,552,962,2123,ZCTA5 01569,1569
328,41.3,16760,2297,48822,26676,8319,947,799,1818,ZCTA5 01570,1570
329,35.9,11401,740,70513,28392,5955,574,851,1757,ZCTA5 01571,1571
330,39.6,18345,562,97535,46182,9229,476,1310,2835,ZCTA5 01581,1581
331,39.5,7627,234,76750,30076,2889,247,877,1957,ZCTA5 01583,1583
332,46.5,4481,267,63333,31793,2355,234,783,1818,ZCTA5 01585,1585
333,41.3,10411,574,62299,30123,5485,557,929,2060,ZCTA5 01588,1588
334,41.7,8836,229,113967,44310,4926,103,1045,2385,ZCTA5 01590,1590
335,40.4,23185,2192,62421,30033,11702,816,1059,1770,ZCTA5 01602,1602
336,36.3,19123,4080,45184,21531,8484,946,809,1701,ZCTA5 01603,1603
337,35.6,35844,5404,50348,26756,17165,2299,972,1708,ZCTA5 01604,1604
338,33.8,26247,6460,36147,22316,11338,1203,862,1836,ZCTA5 01605,1605
339,39.5,19899,1613,62556,32339,10479,753,983,1865,ZCTA5 01606,1606
340,35.7,8265,1484,45288,25550,4253,567,857,1674,ZCTA5 01607,1607
341,26,3767,1891,19846,11941,1297,215,641,950,ZCTA5 01608,1608
342,27.6,21571,3702,41013,26227,9632,1307,832,2212,ZCTA5 01609,1609
343,24.6,23826,7508,29994,13873,8937,1961,864,1779,ZCTA5 01610,1610
344,40.1,2446,74,70750,34264,1457,166,854,1524,ZCTA5 01611,1611
345,41.4,4846,192,107681,37160,2483,103,979,2210,ZCTA5 01612,1612
346,44.1,31144,1394,87376,40189,17055,1106,1112,2299,ZCTA5 01701,1701
347,33.5,37700,4836,56747,29446,20511,1386,1110,2219,ZCTA5 01702,1702
348,39.2,367,0,130625,61896,176,20,2001,2080,ZCTA5 01718,1718
349,42.7,5017,163,106597,58217,2676,240,950,2687,ZCTA5 01719,1719
350,41.9,21382,631,113690,52485,10910,592,1153,2855,ZCTA5 01720,1720
