,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
0,36.4,18544,10200,13495,7283,4445,1265,370,657,ZCTA5 00601,601
1,38,41640,23189,15106,8247,11167,4929,441,854,ZCTA5 00602,602
2,38.4,54540,26776,15079,8913,12988,4163,340,798,ZCTA5 00603,603
3,36.8,6593,3927,12098,6025,1926,184,281,619,ZCTA5 00606,606
4,38.6,29141,14397,16923,7786,8155,856,432,713,ZCTA5 00610,610
5,38.1,69017,30902,18111,10203,18563,3676,405,763,ZCTA5 00612,612
6,39.9,10750,5027,16279,8613,3050,320,414,702,ZCTA5 00616,616
7,35.7,24733,13171,15114,8358,5875,1274,427,741,ZCTA5 00617,617
8,44.6,5923,3217,12059,8168,1407,101,463,840,ZCTA5 00622,622
9,38.4,44943,21806,16447,9197,11382,1439,415,782,ZCTA5 00623,623
10,33.4,26016,15301,15500,6929,6699,2161,390,723,ZCTA5 00624,624
11,37.5,35085,16874,17762,8368,9511,2221,396,755,ZCTA5 00627,627
12,44.8,1800,888,11651,6592,405,117,308,1117,ZCTA5 00631,631
13,38.5,25312,12744,15882,7791,5844,2372,404,680,ZCTA5 00637,637
14,35.9,18997,11762,13735,6230,3943,1052,353,789,ZCTA5 00638,638
15,38.5,30771,16858,14620,7391,6574,2826,402,669,ZCTA5 00641,641
16,36.9,38179,13757,28530,14591,12857,2348,640,1238,ZCTA5 00646,646
17,37.6,5869,3062,14533,7421,1363,476,452,863,ZCTA5 00647,647
18,34.7,15120,8234,16166,6884,3879,975,452,606,ZCTA5 00650,650
19,39.5,3244,1717,10423,7991,842,42,393,913,ZCTA5 00652,652
20,36.6,13502,8749,13292,6548,2699,1472,317,601,ZCTA5 00653,653
21,35.8,21438,11881,14669,7022,4555,1696,325,690,ZCTA5 00656,656
22,37.1,41945,19729,18669,8783,12167,3054,426,811,ZCTA5 00659,659
23,42,17217,5514,20428,10368,5270,871,430,721,ZCTA5 00660,660
24,38,43598,24600,14735,7760,10648,1980,423,729,ZCTA5 00662,662
25,33.7,16665,9073,17048,7623,4610,1542,412,664,ZCTA5 00664,664
26,39.2,26102,15693,13843,6650,5191,733,440,714,ZCTA5 00667,667
27,37.1,29569,17918,12063,6594,6559,2324,409,681,ZCTA5 00669,669
28,37.3,9814,5737,14438,6526,2917,177,277,705,ZCTA5 00670,670
29,37.1,44365,21385,17560,9303,11893,3444,450,793,ZCTA5 00674,674
30,35.1,40145,21729,14362,7311,10209,3307,390,769,ZCTA5 00676,676
31,41.2,15197,7567,16590,8942,4275,1367,424,778,ZCTA5 00677,677
32,37.3,27419,16161,13975,7012,6124,1298,343,703,ZCTA5 00678,678
33,38.2,57220,28916,14877,8532,14958,2892,403,699,ZCTA5 00680,680
34,34.3,32899,17177,15312,11052,8573,1962,352,917,ZCTA5 00682,682
35,40.3,33581,15414,15412,9039,9479,738,338,806,ZCTA5 00683,683
36,38.9,42552,23903,13705,6641,9568,2659,357,709,ZCTA5 00685,685
37,33.3,32617,18711,14596,6728,7283,2607,407,696,ZCTA5 00687,687
38,40.1,13036,6911,14306,6680,2577,370,540,681,ZCTA5 00688,688
